Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-March-2023,2104.0,2129.9,2104.0,2114.95,2115.845294580736,46999,4364,99442613.0,34894,74.24,25.9,10.95
2-March-2023,2125.05,2148.8,2107.0,2121.35,2116.7265250357395,110522,13742,233944849.0,83020,75.12,41.8,-3.7
3-March-2023,2131.2,2159.0,2131.2,2151.4,2149.4322980075426,134708,12485,289545726.0,121998,90.56,27.8,20.2
6-March-2023,2152.05,2184.4,2138.95,2140.6,2160.7605798202994,36839,2815,79600259.0,15882,43.11,45.45,-11.45
8-March-2023,2143.05,2189.1,2140.85,2169.95,2162.4276048635757,171890,8834,371699681.0,124434,72.39,48.25,26.9
9-March-2023,2178.55,2199.0,2172.0,2193.35,2187.444043393424,150161,9173,328468785.0,121552,80.95,27.0,14.8
10-March-2023,2166.0,2175.2,2133.8,2157.7,2156.3300307765153,84480,7933,182166761.0,53761,63.64,41.4,-8.3
13-March-2023,2157.5,2178.6,2108.0,2136.2,2146.416152450091,38570,3499,82787271.0,14132,36.64,70.6,-21.3
14-March-2023,2138.05,2170.35,2134.1,2144.25,2152.461659223169,73890,8016,159045392.0,31160,42.17,36.25,6.2
15-March-2023,2153.15,2212.0,2153.15,2175.75,2186.5715450302646,98134,9144,214577012.0,54286,55.32,58.85,22.6
16-March-2023,2176.0,2185.65,2132.3,2174.05,2158.8063907299306,182264,13309,393472688.0,158787,87.12,53.35,-1.95
17-March-2023,2192.95,2228.3,2187.45,2196.55,2206.2970954585535,108864,11499,240186327.0,68252,62.69,40.85,3.6
20-March-2023,2176.05,2205.1,2152.25,2178.2,2176.2918559122945,38310,5148,83373741.0,17630,46.02,52.85,2.15
21-March-2023,2187.15,2226.0,2181.05,2208.35,2209.586221755911,106748,12800,235868910.0,72178,67.62,44.95,21.2
22-March-2023,2213.05,2246.0,2209.0,2213.6,2228.892904469341,41505,6335,92510200.0,15089,36.35,37.0,0.55
23-March-2023,2214.5,2241.1,2201.0,2206.1,2231.1932289558886,79072,3720,176424911.0,43475,54.98,40.1,-8.4
24-March-2023,2217.9,2219.95,2152.85,2163.1,2188.4326165698844,34786,3158,76126817.0,10846,31.18,67.1,-54.8
27-March-2023,2171.05,2190.0,2150.45,2153.65,2171.185818471533,81585,10149,177136195.0,60603,74.28,39.55,-17.4
28-March-2023,2162.2,2169.7,2122.2,2133.15,2133.7427097661625,116320,9543,248196952.0,101006,86.83,47.5,-29.05
29-March-2023,2134.0,2159.1,2122.95,2147.0,2137.4290759081205,124598,10518,266319388.0,93233,74.83,36.15,13.0
31-March-2023,2151.15,2176.3,2151.0,2164.75,2164.3275437101197,43411,5224,93955623.0,26332,60.66,25.3,13.6
3-April-2023,2170.15,2183.5,2155.55,2170.95,2170.949928866373,28819,3415,62564606.0,12437,43.16,27.95,0.8
5-April-2023,2161.1,2262.0,2161.1,2257.0,2231.3675764478057,126001,12272,281154546.0,81431,64.63,100.9,95.9
6-April-2023,2257.0,2291.25,2253.25,2274.75,2275.916936113279,71752,5188,163301592.0,27694,38.6,38.0,17.75
10-April-2023,2275.75,2319.65,2275.75,2309.15,2306.6943106395256,135147,10970,311742816.0,74392,55.05,43.9,33.4
11-April-2023,2317.2,2329.9,2287.95,2301.15,2303.2560539696924,39726,2931,91499150.0,22340,56.24,41.95,-16.05
12-April-2023,2301.15,2312.4,2282.15,2287.9,2286.7094183122595,83911,4395,191880074.0,67250,80.14,30.25,-13.25
13-April-2023,2290.2,2295.6,2242.6,2257.9,2254.4573973331503,58271,2891,131369487.0,35346,60.66,53.0,-32.3
17-April-2023,2257.9,2272.8,2201.3,2213.15,2213.6825431505354,82386,6668,182376450.0,56519,68.6,71.5,-44.75
18-April-2023,2215.75,2230.75,2188.05,2217.35,2209.5148822424503,27684,2780,61168210.0,11507,41.57,42.7,1.6
19-April-2023,2216.0,2235.0,2208.95,2219.15,2224.145927997204,34332,3613,76359378.0,12377,36.05,26.05,3.15
20-April-2023,2220.0,2251.5,2220.0,2234.0,2232.3732187955093,54247,2971,121099550.0,36932,68.08,31.5,14.0
21-April-2023,2232.8,2244.6,2201.9,2215.0,2210.723507288824,60092,6362,132846797.0,38766,64.51,42.7,-17.8
24-April-2023,2215.35,2233.45,2187.0,2229.9,2210.6142800159555,27577,3080,60962110.0,11913,43.2,46.45,14.55
25-April-2023,2234.95,2253.5,2220.0,2247.8,2240.4163270531503,46867,4325,105001592.0,23350,49.82,33.5,12.85
26-April-2023,2245.0,2287.2,2245.0,2275.0,2270.470640548573,42729,3085,97014940.0,22319,52.23,42.2,30.0
27-April-2023,2280.0,2309.95,2268.6,2305.4,2292.2721860807656,48882,3054,112050849.0,20326,41.58,41.35,25.4
28-April-2023,2305.3,2368.75,2305.3,2364.75,2345.0443957161474,314670,6757,737915120.0,276810,87.97,63.45,59.45
2-May-2023,2366.3,2416.0,2366.3,2383.75,2394.729975390966,75582,7645,180998481.0,39654,52.46,49.7,17.45
3-May-2023,2383.9,2390.0,2348.25,2356.0,2361.606956836813,66237,4981,156425760.0,43872,66.23,41.75,-27.9
4-May-2023,2369.8,2381.35,2343.0,2356.05,2358.5094030559926,79974,3389,188619431.0,38403,48.02,38.35,-13.75
5-May-2023,2360.0,2406.4,2356.1,2377.75,2388.7239137199663,61057,5198,145848316.0,24623,40.33,50.3,17.75
8-May-2023,2370.0,2385.0,2353.85,2364.2,2366.8350098954247,85393,6362,202111142.0,60695,71.08,31.15,-5.8
9-May-2023,2366.0,2402.05,2366.0,2373.8,2385.1617823592246,181602,6159,433150150.0,88211,48.57,36.05,7.8
10-May-2023,2382.0,2390.1,2350.35,2366.75,2361.1286874074076,84375,4131,199220233.0,43895,52.02,39.75,-15.25
11-May-2023,2309.0,2309.0,2238.45,2241.65,2253.6425795102004,252389,28467,568794597.0,149970,59.42,70.55,-67.35
12-May-2023,2234.95,2234.95,2197.85,2220.9,2217.514054732969,169587,8674,376061556.0,90146,53.16,37.1,-14.05
15-May-2023,2226.85,2259.95,2215.05,2246.15,2246.144217191272,87812,4733,197238416.0,54753,62.35,44.9,19.3
16-May-2023,2254.4,2254.7,2224.0,2226.9,2234.5799576992044,43498,4059,97199759.0,15941,36.65,30.7,-27.5
17-May-2023,2226.9,2243.9,2210.3,2219.45,2224.7667659773338,34236,3391,76167115.0,15317,44.74,33.6,-7.45
18-May-2023,2234.95,2234.95,2182.5,2188.65,2205.116685362419,41899,4387,92392184.0,20497,48.92,52.45,-46.3
19-May-2023,2190.2,2196.0,2168.65,2190.3,2181.860012727679,58141,5995,126855523.0,23424,40.29,27.35,0.1
22-May-2023,2190.3,2222.0,2178.2,2216.55,2210.1401359763618,69718,6803,154086550.0,30728,44.07,43.8,26.25
23-May-2023,2221.1,2228.0,2194.0,2197.15,2204.9885976480928,36396,3479,80252765.0,17393,47.79,34.0,-23.95
24-May-2023,2205.4,2208.75,2176.4,2184.3,2192.6613020971595,30136,3221,66078041.0,13803,45.8,32.35,-21.1
25-May-2023,2186.05,2208.0,2177.75,2205.9,2190.752856859766,30278,2437,66331615.0,14405,47.58,30.25,19.85
26-May-2023,2205.05,2220.9,2201.25,2218.0,2209.324172190297,136082,7810,300649252.0,100932,74.17,19.65,12.95
29-May-2023,2220.15,2241.0,2220.15,2223.9,2227.414613862985,123855,7711,275876437.0,106467,85.96,20.85,3.75
30-May-2023,2227.95,2236.0,2208.0,2210.3,2217.7678940835744,31421,2380,69684485.0,14316,45.56,28.0,-17.65
31-May-2023,2208.15,2224.25,2200.0,2206.45,2208.998331462549,32963,2599,72815212.0,20659,62.67,24.25,-1.7
1-June-2023,2210.35,2221.0,2202.2,2209.05,2212.2358570358374,41381,4324,91544532.0,20225,48.88,18.8,-1.3
2-June-2023,2216.05,2238.0,2211.9,2235.25,2227.6890075398314,117244,7978,261183170.0,60712,51.78,26.1,19.2
5-June-2023,2240.0,2272.6,2240.0,2269.15,2259.1499319426416,126364,11719,285475222.0,92029,72.83,32.6,29.15
6-June-2023,2265.05,2280.0,2263.3,2277.4,2273.6638809551096,2015643,6384,4582894686.0,1991961,98.82,16.7,12.35
7-June-2023,2279.9,2318.35,2278.0,2315.25,2304.52848833254,58796,4271,135497057.0,36876,62.72,40.35,35.35
8-June-2023,2316.0,2345.25,2311.9,2340.6,2335.788797437712,80553,5346,188154795.0,41980,52.11,33.35,24.6
9-June-2023,2340.1,2368.0,2338.8,2363.9,2358.7588141682936,121906,9279,287546852.0,78292,64.22,29.2,23.8
31-July-2023,2659.95,2687.9,2631.6,2679.9,2658.207644919715,60223,7169,160085239.0,33225,55.17,56.3,19.95
1-August-2023,2679.9,2687.0,2655.35,2666.15,2668.3953010948903,43840,5589,116982450.0,27934,63.72,31.65,-13.75
2-August-2023,2635.05,2645.0,2603.0,2621.4,2625.0433840903124,30472,4041,79990322.0,16297,53.48,42.0,-13.65
3-August-2023,2620.0,2642.7,2586.75,2597.6,2616.826422430815,32919,3786,86143309.0,10916,33.16,55.95,-22.4
4-August-2023,2603.0,2634.8,2600.0,2625.95,2619.792215714983,24588,2493,64415451.0,9196,37.4,34.8,22.95
7-August-2023,2625.95,2654.0,2623.3,2634.95,2640.38644760914,27877,2359,73606053.0,15178,54.45,30.7,9.0
8-August-2023,2635.05,2649.0,2629.55,2632.95,2637.517785513012,30165,2128,79560724.0,20745,68.77,19.45,-2.1
9-August-2023,2633.4,2654.0,2614.8,2650.45,2635.528708638184,33213,3568,87533815.0,17433,52.49,39.2,17.05
10-August-2023,2642.0,2661.1,2621.7,2643.9,2641.0624755954705,25610,1872,67637610.0,15860,61.93,39.4,1.9
11-August-2023,2642.95,2656.3,2630.55,2638.1,2643.040954912747,37993,4018,100417055.0,21014,55.31,25.75,-4.85
14-August-2023,2631.05,2663.65,2616.0,2661.25,2645.7095287475518,26037,2409,68886339.0,15136,58.13,47.65,30.2
16-August-2023,2661.3,2693.95,2652.05,2690.5,2678.837863934668,61103,6429,163685030.0,42922,70.25,41.9,29.2
17-August-2023,2690.5,2691.0,2642.35,2652.8,2662.963660456152,24904,2708,66318447.0,11857,47.61,48.65,-37.7
18-August-2023,2653.0,2674.95,2632.0,2639.9,2660.188537650989,38910,4924,103507936.0,17797,45.74,42.95,-13.1
21-August-2023,2637.4,2666.2,2623.95,2663.8,2648.528378598146,24596,2283,65143204.0,10575,42.99,42.25,26.4
22-August-2023,2673.7,2685.0,2663.0,2679.5,2677.494814215709,42038,4854,112556527.0,28925,68.81,22.0,5.8
23-August-2023,2685.1,2725.75,2685.0,2717.45,2712.4725910793327,73425,7046,199163300.0,44045,59.99,40.75,32.35
24-August-2023,2754.0,2767.0,2680.9,2687.5,2728.622806748936,65314,5201,178217270.0,25240,38.64,86.1,-66.5
25-August-2023,2686.95,2686.95,2632.0,2639.45,2649.0448958688967,93728,7191,248289680.0,41427,44.2,54.95,-47.5
28-August-2023,2654.0,2700.0,2654.0,2694.5,2676.2862929894177,60480,5289,161861795.0,31509,52.1,46.0,40.5
29-August-2023,2705.55,2722.65,2697.0,2716.55,2708.129147955032,33179,3060,89853017.0,18908,56.99,25.65,11.0
30-August-2023,2718.05,2737.3,2706.0,2708.8,2726.625288225288,26455,2216,72132872.0,13177,49.81,31.3,-9.25
31-August-2023,2711.05,2723.4,2678.7,2706.0,2699.477369975291,33186,2951,89584856.0,18825,56.73,44.7,-5.05
1-September-2023,2710.0,2715.0,2688.55,2701.3,2703.627470545343,52114,4973,140896842.0,21156,40.6,26.45,-8.7
4-September-2023,2738.95,2742.45,2705.0,2710.7,2716.711340206185,61013,3952,165754709.0,27563,45.18,37.45,-28.25
5-September-2023,2715.05,2739.0,2715.05,2733.65,2732.1427821522307,34290,2618,93685176.0,20818,60.71,23.95,18.6
6-September-2023,2734.6,2740.45,2711.5,2730.6,2725.2651367527315,57476,4616,156637339.0,22555,39.24,28.95,-4.0
7-September-2023,2722.15,2854.95,2722.15,2847.05,2795.6462103604954,296453,18643,828777706.0,196616,66.32,132.8,124.9
8-September-2023,2885.05,2927.95,2875.0,2902.0,2903.0241255722367,321982,19027,934721514.0,82802,25.72,52.95,16.95
11-September-2023,2903.85,2926.0,2890.1,2894.05,2909.8776102964034,112583,8419,327602751.0,66552,59.11,35.9,-9.8
12-September-2023,2954.05,3008.0,2932.75,2942.8,2989.394390337454,372821,7911,1114509006.0,285176,76.49,75.25,-11.25
13-September-2023,2942.8,2947.0,2889.0,2908.1,2914.5464939355734,46006,3986,134086626.0,17835,38.77,58.0,-34.7
14-September-2023,2929.0,2932.8,2906.2,2918.55,2917.6991292476846,54206,4954,158156799.0,25921,47.82,26.6,-10.45
15-September-2023,2930.05,2935.0,2901.1,2910.8,2916.7806674090302,27839,2632,81200257.0,11799,42.38,33.9,-19.25
18-September-2023,2910.8,2929.75,2907.0,2919.6,2919.4909221687585,40318,3919,117708035.0,22977,56.99,22.75,8.8
20-September-2023,2922.1,2945.0,2886.75,2891.8,2911.9155800682242,31367,3329,91338056.0,16499,52.6,58.25,-30.3
21-September-2023,2888.0,2905.0,2846.2,2899.75,2873.94234549422,55451,6742,159362977.0,23289,42.0,58.8,11.75
22-September-2023,2909.45,2936.2,2903.0,2918.85,2920.912582805695,54646,5950,159616189.0,22746,41.62,33.2,9.4
25-September-2023,2918.85,2921.0,2870.55,2902.95,2889.228792213826,40893,5244,118149233.0,19197,46.94,50.45,-15.9
26-September-2023,2912.05,2944.35,2910.1,2912.3,2926.002254769705,51890,4719,151830257.0,28869,55.63,34.25,0.25
27-September-2023,2913.0,2995.0,2912.25,2961.7,2958.341153221546,51109,4816,151197858.0,21108,41.3,82.75,48.7
28-September-2023,2998.35,3050.7,2979.4,3011.85,3020.9201479311346,110592,10305,334089601.0,45853,41.46,71.3,13.5
29-September-2023,3044.15,3057.0,3006.0,3021.95,3032.415511975196,129977,11064,394144271.0,46584,35.84,51.0,-22.2
