Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-September-2025,3595.00,3619.90,3561.00,3572.45,3601.416295908575416557,57315,6312,206415175.00,35754,62.38,58.90,-22.55
1-September-2025,3600.00,3625.90,3581.15,3599.25,3596.750080301505385554,46699,4388,167964632.00,25732,55.10,44.75,-0.75
29-August-2025,3560.75,3614.45,3540.60,3599.85,3590.242199289295623813,41086,3269,147508691.00,25694,62.54,73.85,39.10
28-August-2025,3526.65,3576.80,3526.65,3559.85,3554.321874093414563388,27576,2516,98013980.00,16578,60.12,50.15,33.20
26-August-2025,3592.20,3592.20,3529.45,3539.60,3558.388577125013704526,492538,31814,1752641593.00,38296,7.78,62.75,-52.60
25-August-2025,3605.00,3609.05,3584.05,3603.10,3599.052266890298233660,95395,8893,343331591.00,11975,12.55,25.00,-1.90
22-August-2025,3614.95,3634.00,3582.00,3595.45,3599.041195184211528936,104988,6940,377856137.00,78999,75.25,52.00,-19.50
21-August-2025,3593.35,3648.20,3589.90,3616.75,3620.611233009432080471,105279,7900,381174330.00,71449,67.87,58.30,23.40
20-August-2025,3634.95,3634.95,3581.30,3589.35,3591.305138339920948616,45540,2878,163548036.00,29782,65.40,53.65,-45.60
19-August-2025,3640.30,3651.65,3607.65,3611.70,3627.680640706987020160,36210,3754,131358316.00,23555,65.05,44.00,-28.60
18-August-2025,3685.20,3704.35,3622.60,3633.75,3645.298504728072229064,98243,8558,358125061.00,60418,61.50,81.75,-51.45
14-August-2025,3711.90,3711.90,3642.15,3677.25,3666.639017608897126969,28054,4305,102863891.00,18830,67.12,69.75,-34.65
13-August-2025,3691.00,3715.80,3682.60,3692.75,3700.256682820071908707,57573,3919,213034878.00,41834,72.66,33.20,1.75
12-August-2025,3680.00,3727.00,3674.90,3686.00,3702.133325920160124541,62951,5202,233052995.00,36768,58.41,52.10,6.00
11-August-2025,3608.10,3676.00,3606.75,3667.90,3646.919074474660074165,25888,2539,94411441.00,15385,59.43,69.25,59.80
8-August-2025,3641.00,3661.00,3600.70,3606.75,3624.629989676531314521,58120,3735,210663495.00,46921,80.73,60.30,-34.25
7-August-2025,3619.90,3646.50,3600.00,3640.25,3613.524005750271585980,244858,6252,884800261.00,211555,86.40,46.50,20.35
6-August-2025,3636.20,3670.20,3622.65,3629.25,3647.258232071172832808,73736,2645,268934233.00,59857,81.18,47.55,-6.95
5-August-2025,3630.05,3657.70,3608.90,3650.80,3642.012528765021733571,43021,3733,156683021.00,14578,33.89,48.80,20.75
4-August-2025,3589.85,3636.00,3580.00,3630.05,3620.031621122333917132,41681,4049,150886538.00,26317,63.14,56.00,40.20
1-August-2025,3636.00,3636.10,3578.80,3589.65,3603.136952138384803141,37692,3685,135809438.00,17549,46.56,57.30,-46.35
31-July-2025,3610.10,3662.90,3610.10,3635.65,3646.939915548263898227,74362,6903,271193746.00,34760,46.74,52.80,25.55
30-July-2025,3617.05,3685.00,3593.60,3665.15,3646.269745657247595532,251511,17607,917076950.00,116985,46.51,91.40,48.10
29-July-2025,3412.65,3504.00,3405.50,3495.10,3427.621124846987990884,832451,10943,2853326633.00,735819,88.39,98.50,82.45
28-July-2025,3434.75,3445.00,3405.30,3422.20,3423.967218755190660370,84286,8719,288592501.00,23388,27.75,39.70,-12.55
25-July-2025,3466.15,3476.95,3438.00,3443.35,3454.365295246216158601,46910,5660,162044276.00,16235,34.61,38.95,-22.80
24-July-2025,3476.35,3492.65,3460.55,3478.25,3470.175169399980359422,40732,3115,141347175.00,29180,71.64,32.10,1.90
